Year_Month,Average_Close,Highest_Close,Lowest_Close,Average_Volume,Average_Return
2010-06,152.25779172727272,159.746552,143.45134,21326780.272727273,0.36144190620110794
2010-07,159.558573,171.500488,148.596161,13991820.136363637,0.39365614357039364
2010-08,191.84859536363638,207.435059,166.573334,25165471.363636363,0.8293701438181694
2010-09,207.85954433333333,218.941635,200.004745,14806900.047619049,0.40703167549469327
2010-10,229.22231266666665,236.671463,218.249054,13272568.19047619,0.27285719350525484
2010-11,241.7969848,257.735535,228.400177,17036552.85,0.34849424327672657
2010-12,259.964796,270.132568,246.872055,20351219.954545453,0.2862705551998501
2011-01,238.57553705,258.91290299999997,226.975464,15356188.75,-0.6282388485543934
2011-02,226.5490364,247.069931,208.642105,19070506.75,-0.2159606988853773
2011-03,231.27435027272728,247.149078,221.118286,11179792.818181818,0.6721016574962416
2011-04,246.78245455555557,256.983582,237.710312,7644910.777777778,-0.03484515655514339
2011-05,229.71831377272727,242.469269,213.183395,11356678.909090908,-0.5156483797820549
2011-06,196.91965827272728,213.687988,184.224014,12464199,-0.4257374718540525
2011-07,199.47330514285713,211.353027,187.607712,9701081.80952381,-0.20889350585766825
2011-08,158.87118604761906,190.259277,138.217484,16592876.523809524,-1.1009863055867737
2011-09,152.22108466666666,164.436249,138.118546,15048730.238095239,0.3047101457295302
2011-10,175.43769994444443,204.605408,145.143188,16372914.777777778,1.424982541865308
2011-11,177.3180861,191.397079,159.835602,17295280,-0.6462132178367662
2011-12,179.73878823809525,189.863525,170.570465,13509896.38095238,0.19208118117448167
2012-01,211.18483195238096,241.163284,181.997894,16801990.095238097,1.6588348792373109
2012-02,259.7984032,284.795288,243.834625,16802831.35,0.5622539547726902
2012-03,272.89436709523807,287.367706,264.166534,11900916.952380951,-0.022263543643914793
2012-04,295.72541410526316,315.862061,272.675293,8696925.52631579,0.7506134328353256
2012-05,275.47480222727273,305.127197,230.527359,13030015.227272727,-1.321185918011092
2012-06,235.5779526190476,245.566055,219.297806,13922041.095238095,0.22678541706290578
2012-07,226.19429363636362,243.884094,202.923447,9669341.409090908,-0.2919789929614783
2012-08,233.6345119047619,245.467117,218.60524,10292202.57142857,0.18633308840555252
2012-09,254.84026863157894,274.901398,226.272995,10984738.315789474,0.6422086342864365
2012-10,264.44357625,277.572754,245.021896,7698352,-0.22793548068685504
2012-11,266.7623870526316,280.936676,256.004089,13267048.684210526,0.42003600894165816
2012-12,289.1634338,309.332092,268.668274,9852516.2,0.6825751601306069
2013-01,313.3004084347826,330.158722,290.335846,9821073.695652174,-0.18403014646749705
2013-02,291.1842544,303.49472,278.661072,8748149.2,-0.1533004480168847
2013-03,286.96672789473683,306.116608,266.293732,10235165.52631579,-0.32830992000232456
2013-04,271.57459190000003,296.816345,252.491776,8564372.7,0.5644289750361255
2013-05,296.1485108636364,313.685425,282.56915299999997,7631033.681818182,0.2210387142378666
2013-06,289.54929355,310.717255,267.431519,8842848.7,-0.5172666257232933
2013-07,287.74194060869564,296.717407,281.035614,6711393.956521739,0.15941013355283748
2013-08,290.47684935,315.713654,275.841339,10305566.65,0.19930500945347474
2013-09,327.6926712,345.889984,294.194458,7539990.35,0.5694617524176088
2013-10,366.7260205714286,386.306488,332.088013,7803810,0.6686007647631947
2013-11,381.419424,394.963623,356.179626,7328368.894736842,0.264238271886899
2013-12,374.73535014285716,395.656189,356.624847,6408336.714285715,-0.2624873851214987
2014-01,364.75287795652173,382.002625,344.554321,5041379.956521739,-0.2977873714306304
