Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Year,Month,Year_Month,Day_Range,Intraday_Return,MA_20,MA_50,MA_200,Rolling_Volatility,Running_Peak,Drawdown
2010-06-01,148.032211,150.070343,142.580673,143.45134,133.503540,24048880,NA,2010,06,2010-06,7.489670000000018,-3.0945096131814194,NA,NA,NA,NA,143.45134,0
2010-06-02,145.440002,148.378494,143.678894,147.646347,137.407623,28703946,2.924341452648685,2010,06,2010-06,4.699599999999975,1.5170138680278615,NA,NA,NA,NA,147.646347,0
2010-06-03,149.397568,152.761475,149.397568,151.821564,141.293304,24720427,2.8278498485302883,2010,06,2010-06,3.3639069999999833,1.622513694466558,NA,NA,NA,NA,151.821564,0
2010-06-04,151.910599,153.523315,149.516281,152.682327,142.094376,17680584,0.5669570101385542,2010,06,2010-06,4.007034000000004,0.5080145856050479,NA,NA,NA,NA,152.682327,0
2010-06-07,149.595444,149.595444,144.925522,145.85556,135.741013,27858317,-4.4712227892623035,2010,06,2010-06,4.6699219999999855,-2.499998596213926,NA,NA,NA,NA,152.682327,-4.4712227892623035
2010-06-08,145.83577,149.694382,144.648499,145.598312,135.501617,26978136,-0.17637174750143508,2010,06,2010-06,5.0458830000000034,-0.16282562227360525,NA,NA,NA,NA,152.682327,-4.639708562995634
2010-06-09,145.440002,147.359421,143.105057,144.064758,134.074387,33286679,-1.0532773209623343,2010,06,2010-06,4.25436400000001,-0.9455747944777813,NA,NA,NA,NA,152.682327,-5.644116885905188
2010-06-10,146.162262,150.87175,144.450623,150.208862,139.792450,24950044,4.2648209633614895,2010,06,2010-06,6.421126999999984,2.7685668958790552,NA,NA,NA,NA,152.682327,-1.6200074026904085
2010-06-11,152.266785,152.939575,149.921936,151.356552,140.860535,26420786,0.7640627754705863,2010,06,2010-06,3.0176390000000026,-0.5977882832424716,NA,NA,NA,NA,152.682327,-0.8683225007436475
2010-06-14,151.969971,152.919785,149.22937,150.436417,140.004227,17644648,-0.6079254500987759,2010,06,2010-06,3.6904150000000016,-1.0091164655154017,NA,NA,NA,NA,152.682327,-1.4709691973714685
2010-06-15,150.584824,152.167847,148.289444,150.327591,139.902924,16351196,-0.07234019672244216,2010,06,2010-06,3.8784029999999916,-0.1708226587295312,NA,NA,NA,NA,152.682327,-1.5422452920828056
2010-06-16,151.376343,155.927521,151.376343,154.413757,143.705734,26018942,2.718174337005102,2010,06,2010-06,4.5511780000000215,2.006531496140062,NA,NA,NA,NA,154.413757,0
